iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
ARG,South America,Argentina,1/1/2022,5799597,19075,35920.714,118213,37,58.714,127434.755,419.136,789.287,2597.499,0.813,1.29,2.04,1012,22.237,,,,,,,28680676,46481,633.452,1.027,127848,2.824,0.327,3.1,tests performed,78299265,38821162,30776441,6184389,4607,282205,172.05,85.3,67.63,13.59,6201,43911,0.096,37.42,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/2/2022,5821928,22331,37430.286,118251,38,60.143,127925.435,490.68,822.457,2598.334,0.835,1.322,2.01,1102,24.214,,,,,,,28753789,73113,635.067,1.615,130280,2.877,0.346,2.9,tests performed,78402960,38835859,30797090,6253748,103695,289422,172.28,85.33,67.67,13.74,6359,44375,0.098,37.41,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/3/2022,5894551,72623,43154.143,118383,132,69.714,129521.183,1595.748,948.228,2601.234,2.9,1.532,2.02,1162,25.533,,,,,,,28958120,204331,639.58,4.513,140880,3.112,0.387,2.6,tests performed,78897194,38910239,30899931,6576440,494234,298025,173.36,85.5,67.9,14.45,6549,44261,0.097,37.36,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/4/2022,5987311,92760,50014.857,118534,151,81.571,131559.402,2038.219,1098.978,2604.552,3.318,1.792,2.02,1218,26.763,,,,,,,29197425,239305,644.865,5.285,152669,3.372,0.427,2.3,tests performed,79449128,38995147,31012526,6936930,551934,301872,174.57,85.68,68.14,15.24,6633,45475,0.1,37.3,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/5/2022,6091879,104568,57664,118711,177,94.857,133857.078,2297.676,1267.053,2608.441,3.889,2.084,2.01,1396,30.674,,,,,,,29462737,265312,650.725,5.86,165045,3.645,0.465,2.2,tests performed,79996011,39084032,31133919,7279812,546883,308631,175.78,85.88,68.41,16,6782,47258,0.104,37.23,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/6/2022,6207533,115654,66096.429,118855,144,104,136398.348,2541.27,1452.339,2611.605,3.164,2.285,1.97,1572,34.542,,,,,,,29716986,254249,656.341,5.615,173060,3.822,0.504,2,tests performed,80543718,39177888,31253362,7620425,547707,325879,176.98,86.09,68.67,16.74,7161,51658,0.114,27.91,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/7/2022,6320454,112921,77133.143,119028,173,121.714,138879.565,2481.217,1694.849,2615.407,3.801,2.674,1.92,1680,36.915,,,,,,,29965146,248160,661.821,5.481,190136,4.199,0.524,1.9,tests performed,81115860,39270533,31378458,7980612,572142,403029,178.24,86.29,68.95,17.54,8856,64290,0.141,27.85,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/8/2022,6411785,91331,87455.429,119144,116,133,140886.384,2006.819,1921.661,2617.955,2.549,2.922,1.84,1852,40.694,,,,,,,30110169,145023,665.025,3.203,204213,4.51,0.532,1.9,tests performed,81387605,39310148,31429282,8164703,271745,441191,178.83,86.38,69.06,17.94,9694,69855,0.153,27.82,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/9/2022,6469649,57864,92531.571,119254,110,143.286,142157.832,1271.448,2033.2,2620.372,2.417,3.148,1.74,1901,41.771,,,,,,,30224081,113912,667.54,2.516,210042,4.639,0.534,1.9,tests performed,81551920,39331755,31458078,8280411,164315,449851,179.19,86.42,69.12,18.19,9885,70842,0.156,27.8,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/10/2022,6584992,115343,98634.429,119492,238,158.429,144692.268,2534.436,2167.298,2625.602,5.23,3.481,1.63,1967,43.221,,,,,,,30494797,270716,673.52,5.979,219525,4.849,0.549,1.8,tests performed,82068901,39412969,31555153,8622805,516981,453101,180.33,86.6,69.34,18.95,9956,71819,0.158,27.75,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/11/2022,6720393,135401,104726,119760,268,175.143,147667.439,2975.171,2301.148,2631.491,5.889,3.848,1.53,2084,45.792,,,,,,,30739870,245073,678.932,5.413,220349,4.867,0.565,1.8,tests performed,82571028,39485089,31644219,8965630,502127,445986,181.43,86.76,69.53,19.7,9800,69992,0.154,27.7,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/12/2022,6850934,130541,108436.429,120068,308,193.857,150535.821,2868.382,2382.678,2638.259,6.768,4.26,1.45,2206,48.473,,,,,,,30970127,230257,684.018,5.086,215341,4.756,0.584,1.7,tests performed,83073637,39554397,31730337,9314047,502609,439661,182.54,86.91,69.72,20.47,9661,67195,0.148,27.66,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/13/2022,6977803,126869,110038.571,120361,293,215.143,153323.518,2787.697,2417.882,2644.697,6.438,4.727,1.39,2406,52.867,,,,,,,31175949,205822,688.564,4.546,208423,4.603,0.6,1.7,tests performed,83540845,39616674,31809557,9639753,467208,428161,183.56,87.05,69.9,21.18,9408,62684,0.138,27.62,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/14/2022,7101023,123220,111509.857,120671,310,234.714,156031.036,2707.518,2450.21,2651.508,6.812,5.157,1.34,2268,49.835,,,,,,,31390985,215036,693.313,4.749,203691,4.499,0.612,1.6,tests performed,83962307,39669824,31876784,9941186,421462,406635,184.49,87.17,70.04,21.84,8935,57042,0.125,27.58,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/15/2022,7183233,82210,110206.857,120878,207,247.714,157837.439,1806.403,2421.579,2656.057,4.548,5.443,1.28,1965,43.177,,,,,,,31512990,122005,696.008,2.695,200403,4.426,0.618,1.6,tests performed,84150682,39689607,31904165,10082471,188375,394725,184.9,87.21,70.1,22.15,8673,54208,0.119,27.57,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/16/2022,7240336,57103,110098.143,121062,184,258.286,159092.166,1254.726,2419.19,2660.1,4.043,5.675,1.23,2036,44.737,,,,,,,31594895,81905,697.817,1.809,195831,4.325,0.629,1.6,tests performed,84284641,39701935,31920834,10187217,133959,390389,185.2,87.24,70.14,22.38,8578,52883,0.116,27.56,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/17/2022,7360168,119832,110739.429,121546,484,293.429,161725.238,2633.073,2433.281,2670.735,10.635,6.448,1.18,2099,46.121,,,,,,,31788888,193993,702.101,4.285,184870,4.083,0.645,1.6,tests performed,84706567,39756127,31990882,10485048,421926,376809,186.13,87.36,70.29,23.04,8280,49023,0.108,27.52,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/18/2022,7477862,117694,108209.857,121947,401,312.429,164311.333,2586.095,2377.699,2679.546,8.811,6.865,1.12,2330,51.197,,,,,,,31978669,189781,706.293,4.192,176971,3.909,0.653,1.5,tests performed,85115594,39804806,32057498,10778477,409027,363509,187.02,87.46,70.44,23.68,7987,45674,0.1,27.49,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/19/2022,7602468,124606,107362,122352,405,326.286,167049.305,2737.972,2359.069,2688.445,8.899,7.169,1.08,2310,50.758,,,,,,,32152499,173830,710.132,3.839,168910,3.731,0.656,1.5,tests performed,85503734,39851264,32121318,11054975,388140,347157,187.88,87.57,70.58,24.29,7628,42410,0.093,27.45,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/20/2022,7722756,120288,106421.857,122725,373,337.714,169692.398,2643.093,2338.411,2696.641,8.196,7.421,1.05,2470,54.273,,,,,,,32316394,163895,713.752,3.62,162921,3.598,0.657,1.5,tests performed,85888109,39897400,32184313,11328660,384375,335323,188.72,87.67,70.72,24.89,7368,40104,0.088,27.42,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/21/2022,7836232,113476,105029.857,123105,380,347.714,172185.81,2493.412,2307.825,2704.991,8.35,7.64,1.02,2511,55.174,,,,,,,32470269,153875,717.151,3.399,154183,3.405,0.662,1.5,tests performed,86260845,39940339,32243114,11597578,372736,328363,189.54,87.76,70.85,25.48,7215,38645,0.085,27.39,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/22/2022,7917019,80787,104826.571,123334,229,350.857,173960.946,1775.136,2303.358,2710.022,5.032,7.709,0.99,2558,56.207,,,,,,,32572326,102057,719.405,2.254,151334,3.342,0.651,1.5,tests performed,86434626,39958214,32266945,11727994,173781,326278,189.92,87.8,70.9,25.77,7169,38372,0.084,27.37,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/23/2022,7968118,51099,103968.857,123526,192,352,175083.746,1122.8,2284.511,2714.241,4.219,7.735,0.94,2562,56.295,,,,,,,32639793,67467,720.895,1.49,149271,3.297,0.637,1.6,tests performed,86553468,39968346,32281419,11821121,118842,324118,190.18,87.82,70.93,25.97,7122,38059,0.084,27.37,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/24/2022,8061969,93851,100257.286,123946,420,342.857,177145.937,2062.191,2202.957,2723.47,9.229,7.534,0.88,2592,56.954,,,,,,,32783284,143491,724.064,3.169,142057,3.138,0.619,1.6,tests performed,86921334,40013090,32344453,12079092,367866,316395,190.99,87.92,71.07,26.54,6952,36709,0.081,27.33,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/25/2022,8152404,90435,96363.143,124346,400,342.714,179133.069,1987.132,2117.391,2732.259,8.789,7.53,0.83,2640,58.009,,,,,,,32911335,128051,726.892,2.828,133238,2.943,0.596,1.7,tests performed,87269782,40054877,32404826,12322972,348448,307741,191.76,88.01,71.2,27.08,6762,35724,0.078,27.3,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/26/2022,8229067,76663,89514.143,124703,357,335.857,180817.588,1684.519,1966.898,2740.104,7.844,7.38,0.77,2755,60.536,,,,,,,33023912,112577,729.379,2.486,124488,2.749,0.573,1.7,tests performed,87615086,40095092,32465410,12564955,345304,301622,192.52,88.1,71.34,27.61,6628,34833,0.077,27.27,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/27/2022,8294709,65642,81707.571,124990,287,323.571,182259.942,1442.354,1795.363,2746.41,6.306,7.11,0.73,2836,62.316,,,,,,,33129427,105515,731.709,2.33,116148,2.565,0.545,1.8,tests performed,87968292,40138681,32531451,12805889,353206,297169,193.29,88.2,71.48,28.14,6530,34469,0.076,27.23,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/28/2022,8353154,58445,73846,125252,262,306.714,183544.156,1284.214,1622.621,2752.167,5.757,6.739,0.69,2945,64.711,,,,,,,33221272,91845,733.738,2.029,107286,2.37,0.519,1.9,tests performed,88317463,40178677,32595278,13048262,349171,293803,194.06,88.28,71.62,28.67,6456,34048,0.075,27.2,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/29/2022,8380843,27689,66260.571,125386,134,293.143,184152.567,608.411,1455.946,2755.111,2.944,6.441,0.67,2924,64.249,,,,,,,33276151,54879,734.95,1.212,100546,2.221,0.509,2,tests performed,88475428,40194934,32619220,13162168,157965,291543,194.41,88.32,71.67,28.92,6406,33817,0.074,27.19,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/30/2022,8400422,19579,61757.714,125514,128,284,184582.777,430.21,1357.004,2757.924,2.813,6.24,0.64,2912,63.985,,,,,,,33314924,38773,735.806,0.856,96447,2.13,0.503,2,tests performed,88571974,40203443,32631791,13235393,96546,288358,194.62,88.34,71.7,29.08,6336,33585,0.074,27.18,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARG,South America,Argentina,1/31/2022,8452960,52538,55855.857,125832,318,269.429,185737.197,1154.419,1227.323,2764.911,6.987,5.92,0.62,2909,63.92,,,,,,,33406743,91819,737.834,2.028,89066,1.967,0.469,2.1,tests performed,88931801,40242642,32690565,13490715,359827,287210,195.41,88.43,71.83,29.64,6311,32793,0.072,27.15,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
